ISO3,Country,Human_Development_Groups,UNDP_Developing_Regions,HDI_Rank,GII_Rank,Human_Development_Index,Life_Expectancy_at_Birth,Expected_Years_of_Schooling,Mean_Years_of_Schooling,Gross_National_Income_Per_Capita,Gender_Development_Index,HDI_female,HDI_male,Inequality-adjusted_Human_Development_Index,Coefficient_of_human_inequality,Overall_loss_%,Inequality_in_life_expectancy,Inequality_in_eduation,Inequality_in_income,Gender_Inequality_Index,first,second,continent,Population
HRV,Croatia,Very High,,40.0,26.0,0.83,77.3401,14.78808022,11.26972198,23275.98481,0.979,0.820172854,0.837359118,0.758,8.475193906,8.674698795,3.853091717,4.33104,17.24145,0.128,-2.4852683003051217,0.1842056534177933,Europe,4100719
HTI,Haiti,Low,LAC,163.0,163.0,0.517,62.2915,8.948,4.944,2985.249076,0.885,0.483823476,0.546507026,0.312,39.18251766,39.65183752,30.85085297,38.29759,48.39911,0.636,3.7070601293516057,-2.314452796581171,North America,11426356
HUN,Hungary,Very High,,46.0,55.0,0.831,75.1808,15.24335957,11.83899975,23596.14241,0.989,0.824595768,0.834031367,0.773,6.884100295,6.97954272,4.847210884,3.18778,12.61731,0.242,-2.6395217161712683,0.5971477478956728,Europe,9655983
IDN,Indonesia,High,EAP,114.0,110.0,0.678,68.973,12.89035034,7.608673414,8819.450844,0.925,0.648773058,0.701010491,0.556,17.99881658,17.99410029,17.09958458,19.64056516,17.2563,0.491,0.4103256640504711,0.5315728992342281,Asia,274021604
IND,India,Medium,SA,132.0,122.0,0.598,67.8872,11.52486038,5.538719796,4529.016173,0.826,0.527020841,0.638333663,0.423,28.47177063,29.26421405,23.83531189,42.42,19.16,0.571,2.321721416457576,0.9321587279685364,Asia,1382345085
IRL,Ireland,Very High,,8.0,21.0,0.903,80.7523,17.95647049,11.07233159,40945.23159,0.976,0.891196085,0.912666457,0.84,6.881864729,6.976744186,3.622294188,3.23114,13.79216,0.134,-3.892367675700605,0.2978603578493102,Europe,4947267
IRN,Iran,High,SA,76.0,115.0,0.768,74.186,14.76996994,9.885310173,12896.64969,0.875,0.69750724,0.797144165,0.5621510791366907,20.304142475244607,20.75931192845324,11.02743149,5.06496154,24.059114932170065,0.514,-1.334543999289982,-0.4879665309333051,Asia,84176929
IRQ,Iraq,Medium,AS,121.0,145.0,0.66,68.0232,11.17797675,7.513722047,9860.994781,0.802,0.563759054,0.703175534,0.516,21.60961117,21.81818182,18.05069351,30.63102,16.14712,0.569,1.180033033978735,0.9923286343165711,Asia,40372771
ISL,Iceland,Very High,,3.0,8.0,0.921,82.5564,18.84399033,11.80832671,40751.37618,0.974,0.906354081,0.9308068,0.867,5.76565346,5.863192182,2.662500381,2.41753,12.21693,0.085,-4.366358985452282,0.0686499951198517,Europe,341628
ISR,Israel,Very High,,22.0,22.0,0.898,81.7346,16.09416008,12.68892002,33231.73289,0.971,0.882690931,0.909138569,0.787,11.93067184,12.36080178,3.61313653,7.632879,24.546,0.131,-3.331725082306406,-0.6573831241171286,Asia,8678517
ITA,Italy,Very High,,30.0,13.0,0.883,82.2588,16.46610069,10.02369976,40576.27663,0.97,0.867132494,0.893861163,0.782,11.19502066,11.4382786,3.178961992,10.55974,19.84636,0.115,-3.2496834563492296,-0.193183329112856,Europe,60446035
JAM,Jamaica,High,LAC,110.0,80.0,0.713,73.4335,12.90556458,8.525680986,9306.382492,0.988,0.707052298,0.715934243,0.593,15.96931293,16.83029453,10.33582878,5.60595,31.96616,0.409,-0.4795513314679027,-1.25737353648747,North America,2963429
JOR,Jordan,High,AS,102.0,118.0,0.721,74.3659,11.13696957,9.791880131,10562.26491,0.871,0.655185652,0.752507416,0.603,16.28383785,16.36615811,11.45873356,16.9017,20.49108,0.479,-0.2417507338755828,0.555177177199346,Asia,10220604
JPN,Japan,Very High,,19.0,22.0,0.905,83.1755,14.97159656,12.88482841,39328.17159,0.961,0.883688194,0.919931291,0.5621510791366907,20.304142475244607,20.75931192845324,3.054442883,19.47365799370064,14.557639,0.124,-3.5512538867239827,0.0339294398469132,Asia,126407422
KAZ,Kazakhstan,Very High,ECA,56.0,41.0,0.783,69.1295,15.1076498,11.41226959,19217.17935,1.003,0.782375924,0.779820864,0.706,9.82074703,9.833971903,10.93093109,5.874,12.65731,0.248,-1.794649761849528,0.925233544160054,Asia,18815231
KEN,Kenya,Medium,SSA,152.0,128.0,0.552,61.1152,10.39574252,6.234,3432.866608,0.925,0.532035199,0.574980745,0.391,28.91334961,29.16666667,24.75685883,26.01787,35.96532,0.581,2.528600782740199,-1.1269761025901337,Africa,53968739
KGZ,Kyrgyzstan,Medium,ECA,118.0,87.0,0.675,68.9933,12.68334007,11.15904895,4160.447227,0.975,0.663122198,0.68036609,0.589,12.62352136,12.74074074,15.11818409,5.01723,17.73515,0.388,-0.2880289772212408,1.25278384722666,Asia,6542426
