ISO3,Country,Human_Development_Groups,UNDP_Developing_Regions,HDI_Rank,GII_Rank,Human_Development_Index,Life_Expectancy_at_Birth,Expected_Years_of_Schooling,Mean_Years_of_Schooling,Gross_National_Income_Per_Capita,Gender_Development_Index,HDI_female,HDI_male,Inequality-adjusted_Human_Development_Index,Coefficient_of_human_inequality,Overall_loss_%,Inequality_in_life_expectancy,Inequality_in_eduation,Inequality_in_income,Gender_Inequality_Index,first,second,continent,Population
OMN,Oman,Very High,AS,54.0,72.0,0.831,77.9243,14.18214035,10.38984642,32003.33222,0.928,0.782378938,0.842642625,0.722,13.00124719,13.11672684,6.966084003,11.94880067,20.08885691,0.333,1.0562500594755897,1.413988370896496,Asia,5128058
PAK,Pakistan,Low,SA,161.0,135.0,0.543,66.2972,7.931729794,5.115049839,4495.95069,0.754,0.448937499,0.595465442,0.375,30.02808261,30.93922652,29.32213783,43.52795,17.23416,0.543,-3.4661585542940574,-1.936925010384359,Asia,221612785
PAN,Panama,Very High,LAC,61.0,96.0,0.811,77.7954,12.95616796,10.25965691,28606.48873,1.007,0.81276089,0.807109596,0.639,20.19681747,21.20838471,11.52538681,12.15230059,36.912765,0.417,-0.6007260111721416,1.7715816117459646,North America,4326296
PER,Peru,High,LAC,84.0,90.0,0.77,75.879,14.99071026,9.535280228,11931.12893,0.951,0.749497226,0.788190584,0.63,17.71171752,18.18181818,9.500276566,15.06621,28.568666,0.404,0.3350876163458578,0.7033403109024617,South America,33050211
PHL,Philippines,Medium,EAP,116.0,101.0,0.704,71.5156,13.14836025,8.446499825,9016.762194,0.981,0.695627623,0.70895042,0.575,17.93095387,18.32386364,15.6016016,10.0958,28.09546,0.423,0.2452421064088029,-0.5400927828469326,Asia,109830324
PLW,Palau,High,EAP,80.0,85.37647058823529,0.775,64.0828,16.12965891,12.5893,18910.23865,0.943517441860465,0.7001682667383721,0.7362088890930233,0.5945646258503402,18.942870966863943,19.35102011878912,14.07137775,2.180765728,23.356497166026145,0.3558882352941176,2.193596172699502,-0.7172049181380058,Oceania,18109
PNG,Papua New Guinea,Medium,EAP,156.0,169.0,0.552,65.1028,9.866865833,4.66,4201.135296,0.925,0.530677861,0.573502814,0.39,29.11353012,29.34782609,22.78923035,35.65204,28.89932,0.729,-2.115958547238657,-2.325588118561861,Oceania,8975531
POL,Poland,Very High,,34.0,31.0,0.875,77.7205,16.08062935,13.04480243,28817.10086,1.006,0.875608889,0.870697017,0.804,8.014790925,8.114285714,4.453942776,5.20938,14.38105,0.125,2.395213220989248,1.811352899139324,Europe,37839255
PRK,North Korea,,EAP,95.81151832460732,85.37647058823529,0.7195473684210526,72.9778,10.78317,8.747069302510525,19906.64647388083,0.943517441860465,0.7001682667383721,0.7362088890930233,0.5945646258503402,18.942870966863943,19.35102011878912,12.32974243,18.64913996358333,23.356497166026145,0.3558882352941176,-0.1305179703715323,-0.2304992601331286,Asia,25798588
PRT,Portugal,Very High,,38.0,15.0,0.859,81.498,16.53578949,9.218230247,32269.04155,0.987,0.852171048,0.863268084,0.751,12.34971747,12.57275902,3.214552402,15.77579,18.05881,0.077,1.0472425893634083,2.2669143306391897,Europe,10191409
PRY,Paraguay,High,LAC,105.0,111.0,0.724,73.6436,12.70668574,8.468514919,12174.12219,0.971,0.711133949,0.732556833,0.574,20.04326768,20.71823204,12.67008305,13.30465,34.15507,0.454,-0.3424116277429568,0.0523493865056787,South America,7147553
